Elapsed [0:00:50], Iteration [500/1000000], G/loss_id: 4.0174, G/loss_id_psnt: 4.1965, G/loss_cd: 0.0814, mvg_avg: 0.0751
Elapsed [0:01:41], Iteration [1000/1000000], G/loss_id: 8.4604, G/loss_id_psnt: 7.2784, G/loss_cd: 0.0439, mvg_avg: 0.0568
Elapsed [0:02:33], Iteration [1500/1000000], G/loss_id: 7.1603, G/loss_id_psnt: 6.2955, G/loss_cd: 0.0278, mvg_avg: 0.0453
Elapsed [0:03:24], Iteration [2000/1000000], G/loss_id: 6.5154, G/loss_id_psnt: 5.8035, G/loss_cd: 0.0380, mvg_avg: 0.0416
Elapsed [0:04:15], Iteration [2500/1000000], G/loss_id: 11.2100, G/loss_id_psnt: 8.0375, G/loss_cd: 0.0232, mvg_avg: 0.0389
Elapsed [0:05:06], Iteration [3000/1000000], G/loss_id: 16.4032, G/loss_id_psnt: 16.3916, G/loss_cd: 0.0389, mvg_avg: 0.0371
Elapsed [0:05:57], Iteration [3500/1000000], G/loss_id: 7.0691, G/loss_id_psnt: 5.3284, G/loss_cd: 0.0304, mvg_avg: 0.0335
Elapsed [0:06:48], Iteration [4000/1000000], G/loss_id: 9.8872, G/loss_id_psnt: 8.2969, G/loss_cd: 0.0516, mvg_avg: 0.0360
Elapsed [0:07:40], Iteration [4500/1000000], G/loss_id: 4.0473, G/loss_id_psnt: 4.5840, G/loss_cd: 0.0394, mvg_avg: 0.0406
Elapsed [0:08:31], Iteration [5000/1000000], G/loss_id: 6.3335, G/loss_id_psnt: 6.7222, G/loss_cd: 0.0676, mvg_avg: 0.0516
Elapsed [0:09:22], Iteration [5500/1000000], G/loss_id: 3.3566, G/loss_id_psnt: 3.4864, G/loss_cd: 0.0537, mvg_avg: 0.0534
Elapsed [0:10:13], Iteration [6000/1000000], G/loss_id: 3.6994, G/loss_id_psnt: 4.2006, G/loss_cd: 0.0711, mvg_avg: 0.0482
Elapsed [0:11:04], Iteration [6500/1000000], G/loss_id: 6.3900, G/loss_id_psnt: 6.0578, G/loss_cd: 0.0340, mvg_avg: 0.0457
Elapsed [0:11:55], Iteration [7000/1000000], G/loss_id: 5.6065, G/loss_id_psnt: 6.2326, G/loss_cd: 0.0593, mvg_avg: 0.0508
Elapsed [0:12:46], Iteration [7500/1000000], G/loss_id: 4.9099, G/loss_id_psnt: 5.3827, G/loss_cd: 0.0485, mvg_avg: 0.0484
Elapsed [0:13:37], Iteration [8000/1000000], G/loss_id: 4.8494, G/loss_id_psnt: 4.9928, G/loss_cd: 0.0476, mvg_avg: 0.0486
Elapsed [0:14:28], Iteration [8500/1000000], G/loss_id: 8.1975, G/loss_id_psnt: 7.6388, G/loss_cd: 0.0424, mvg_avg: 0.0456
Elapsed [0:15:19], Iteration [9000/1000000], G/loss_id: 6.8703, G/loss_id_psnt: 6.4553, G/loss_cd: 0.0357, mvg_avg: 0.0475
Elapsed [0:16:10], Iteration [9500/1000000], G/loss_id: 3.7235, G/loss_id_psnt: 3.7351, G/loss_cd: 0.0299, mvg_avg: 0.0465
Elapsed [0:17:00], Iteration [10000/1000000], G/loss_id: 2.6240, G/loss_id_psnt: 2.7510, G/loss_cd: 0.0265, mvg_avg: 0.0442
Elapsed [0:17:51], Iteration [10500/1000000], G/loss_id: 4.0595, G/loss_id_psnt: 4.1492, G/loss_cd: 0.0390, mvg_avg: 0.0421
Elapsed [0:18:42], Iteration [11000/1000000], G/loss_id: 6.9084, G/loss_id_psnt: 7.0672, G/loss_cd: 0.0552, mvg_avg: 0.0453
Elapsed [0:19:33], Iteration [11500/1000000], G/loss_id: 5.4565, G/loss_id_psnt: 5.4881, G/loss_cd: 0.0578, mvg_avg: 0.0462
Elapsed [0:20:23], Iteration [12000/1000000], G/loss_id: 6.5567, G/loss_id_psnt: 6.5670, G/loss_cd: 0.0487, mvg_avg: 0.0434
Elapsed [0:21:14], Iteration [12500/1000000], G/loss_id: 4.7576, G/loss_id_psnt: 4.7226, G/loss_cd: 0.0364, mvg_avg: 0.0453
Elapsed [0:22:05], Iteration [13000/1000000], G/loss_id: 3.4360, G/loss_id_psnt: 3.4772, G/loss_cd: 0.0372, mvg_avg: 0.0445
Elapsed [0:22:56], Iteration [13500/1000000], G/loss_id: 3.1363, G/loss_id_psnt: 3.1484, G/loss_cd: 0.0270, mvg_avg: 0.0423
Elapsed [0:23:47], Iteration [14000/1000000], G/loss_id: 4.3235, G/loss_id_psnt: 4.3777, G/loss_cd: 0.0489, mvg_avg: 0.0407
Elapsed [0:24:38], Iteration [14500/1000000], G/loss_id: 2.7073, G/loss_id_psnt: 2.8636, G/loss_cd: 0.0382, mvg_avg: 0.0447
Elapsed [0:25:29], Iteration [15000/1000000], G/loss_id: 8.2830, G/loss_id_psnt: 8.3314, G/loss_cd: 0.0569, mvg_avg: 0.0437
Elapsed [0:26:20], Iteration [15500/1000000], G/loss_id: 4.7783, G/loss_id_psnt: 4.7916, G/loss_cd: 0.0440, mvg_avg: 0.0409
Elapsed [0:27:11], Iteration [16000/1000000], G/loss_id: 3.8057, G/loss_id_psnt: 3.8527, G/loss_cd: 0.0332, mvg_avg: 0.0413
